start_hour,start_month,start_weekday,duration_minutes,Distance(mi),Temperature(F),Visibility(mi),Amenity,Bump,Crossing,Junction,Railway,Stop,Traffic_Signal,Severity
14,12,2,29.65,0.01,69.1,4.0,0,0,0,0,0,0,0,3
20,1,0,44.13333333333333,0.01,50.0,7.0,0,0,0,0,0,0,0,3
22,8,2,45.0,0.0,66.9,10.0,0,0,0,0,0,0,0,3
14,6,5,90.0,0.0,86.0,10.0,0,0,0,0,0,0,0,2
15,12,4,44.6,0.01,64.0,10.0,0,0,0,0,0,0,0,2
9,12,4,38.1,0.01,57.0,10.0,0,0,0,0,0,0,0,3
12,8,4,30.0,0.0,87.8,8.0,0,0,0,0,0,0,0,3
12,11,4,32.96666666666667,0.01,75.9,10.0,0,0,1,0,0,0,0,3
9,10,4,42.2,0.01,75.0,10.0,0,0,0,0,0,0,0,3
18,6,0,30.0,0.0,68.0,10.0,0,0,0,0,0,0,0,3
1,3,5,30.0,0.01,60.1,9.0,0,0,0,1,0,0,0,3
22,1,6,29.216666666666665,0.01,46.9,10.0,0,0,0,0,0,0,0,2
15,11,4,44.78333333333333,0.01,78.1,10.0,0,0,0,0,0,0,1,2
18,5,3,45.0,0.01,64.4,10.0,0,0,0,0,0,0,0,2
12,6,3,30.0,0.01,90.0,10.0,0,0,0,0,0,0,0,3
13,9,5,30.0,0.0,64.0,10.0,0,0,0,0,0,1,0,2
21,12,1,44.56666666666667,0.01,57.0,5.0,0,0,0,0,0,0,0,3
21,9,0,45.0,0.0,68.7,10.0,1,0,0,0,0,0,0,2
12,9,1,44.416666666666664,0.0,82.4,10.0,0,0,0,0,0,0,0,3
20,11,4,29.733333333333334,0.01,51.1,10.0,0,0,0,0,0,0,0,2
21,12,2,44.78333333333333,0.01,57.0,9.0,0,0,0,0,0,0,0,2
13,3,1,30.0,0.0,,,0,0,0,0,0,0,0,3
21,10,1,29.483333333333334,0.01,57.9,10.0,0,0,0,0,0,0,0,3
21,7,2,47.1,0.0,72.0,10.0,0,0,0,0,0,0,0,2
15,12,6,29.683333333333334,0.01,55.9,10.0,0,0,0,0,0,0,0,2
12,3,3,30.0,0.01,62.1,10.0,0,0,1,0,0,1,1,2
10,1,6,44.68333333333333,0.01,71.6,10.0,0,0,0,0,0,0,0,3
20,8,3,45.0,0.0,62.1,10.0,0,0,0,0,0,0,0,2
22,9,4,44.583333333333336,0.0,74.0,10.0,0,0,0,0,0,0,0,2
9,7,2,34.81666666666667,0.0,82.0,10.0,0,0,0,0,0,0,0,2
19,4,5,30.0,0.01,57.0,7.0,0,0,0,0,0,0,0,2
12,10,1,37.05,0.0,66.9,10.0,0,0,0,0,0,0,0,3
7,11,0,44.63333333333333,0.01,57.9,10.0,0,0,0,0,0,0,0,3
11,10,2,37.0,0.01,68.0,10.0,0,0,0,0,0,0,0,2
20,8,3,45.0,0.0,77.0,7.0,0,0,0,0,0,0,0,3
11,10,5,44.78333333333333,0.01,64.4,9.0,0,0,0,0,0,0,0,3
21,12,3,29.733333333333334,0.01,46.4,5.0,0,0,0,0,0,0,0,2
13,8,0,45.0,0.0,79.0,10.0,0,0,0,0,0,1,0,2
19,10,3,29.0,0.01,59.0,2.5,0,0,0,0,0,0,0,3
18,9,4,32.18333333333333,0.0,63.0,10.0,0,0,1,0,0,1,0,2
10,11,3,37.516666666666666,0.01,69.1,10.0,0,0,0,0,0,0,0,2
17,9,3,32.31666666666667,0.0,61.0,10.0,0,0,0,1,0,0,0,3
21,12,2,44.733333333333334,0.01,57.0,3.0,0,0,0,0,0,0,0,3
13,9,0,58.53333333333333,0.0,93.9,10.0,0,0,1,0,0,0,1,2
20,4,3,75.0,0.01,62.6,10.0,0,0,0,0,0,0,0,2
14,12,5,45.0,0.01,27.0,10.0,0,0,0,0,0,0,0,3
20,9,0,45.0,0.0,75.0,10.0,0,0,0,0,0,0,0,3
17,9,3,45.0,0.0,71.1,10.0,0,0,0,0,0,0,0,2
14,9,4,45.0,0.0,69.1,9.0,0,0,0,1,0,0,0,2
0,4,1,45.0,0.0,60.1,10.0,0,0,0,0,0,0,0,3
20,8,2,45.0,0.0,63.0,8.0,0,0,0,0,0,0,0,2
14,9,4,30.0,0.0,84.2,9.0,0,0,0,0,0,0,0,3
15,4,6,30.0,0.01,82.9,10.0,0,0,0,0,0,0,0,2
17,11,1,44.3,0.0,62.6,10.0,0,0,0,0,0,0,0,2
5,7,2,42.483333333333334,0.0,70.3,10.0,0,0,0,0,0,0,0,2
15,1,4,44.583333333333336,0.01,59.0,10.0,0,0,0,0,0,0,0,3
17,10,0,29.65,0.01,68.0,10.0,0,0,0,0,0,0,0,3
20,7,3,60.0,0.0,85.0,10.0,0,0,0,0,0,0,0,2
